model,family,R40_acc,R40_macroF1,A_only_acc,A_only_macroF1,Aplus120R_acc,Aplus120R_macroF1,Bplus120R_acc,Bplus120R_macroF1
ConvNeXt-L,ConvNeXt,77.57,71.34,47.31,40.63,74.11,66.16,76.45,71.6
ConvNeXt-S,ConvNeXt,10.69,4.02,41.78,33.12,70.54,60.86,75.96,69.77
ConvNeXt-B,ConvNeXt,76.85,71.45,45.84,39.83,73.55,64.4,75.4,70.73
ConvNeXt-T,ConvNeXt,13.5,1.08,44.51,37.79,73.2,66.9,74.28,66.34
EfficientNet-B0,EfficientNet,54.9,40.03,50.24,43.59,71.8,63.74,68.89,61.74
EfficientNet-B1,EfficientNet,66.0,52.05,44.93,36.69,72.78,65.87,70.9,60.87
EfficientNet-B2,EfficientNet,49.76,34.42,50.17,41.65,73.34,63.96,70.1,61.24
EfficientNet-B3-NS,EfficientNet,53.94,39.64,49.83,42.65,73.34,66.35,71.95,63.83
ResNet-34,ResNet,48.31,25.88,47.87,41.62,71.03,63.96,52.97,32.55
ResNet-101,ResNet,46.06,26.18,49.34,42.44,72.57,64.39,51.45,31.26
Swin-T,Swin,70.98,60.55,44.44,37.19,72.08,65.07,71.62,62.23
Swin-S,Swin,73.55,64.72,47.38,40.32,75.44,68.24,74.52,67.69
Swin-B,Swin,75.64,68.96,44.93,38.34,74.39,66.32,75.32,68.97
SwinV2-T,SwinV2,72.19,63.19,42.55,36.02,72.64,65.59,69.45,59.96
ViT-B/16,ViT,73.23,64.23,39.19,33.83,71.31,62.89,73.47,65.01
ViT-S/16,ViT,67.36,57.65,40.38,34.34,70.82,62.29,68.57,60.6
